Time,V_mps,alt_m,pitch_deg,q_degps,alpha_deg,vpath_deg,beta_deg,p_degps,r_degps,roll_deg
528.85107,40.58861814532,1422.140393712,0.05657,-0.37575,4.62219,-4.56979,-0.23027,0.04866,0.38932,1.37913
528.87732,40.59332016348,1422.055561776,0.04666,-0.36548,4.61707,-4.57455,-0.22826,0.06059,0.38776,1.38062
528.90308,40.59796044836,1421.97207096,0.03721,-0.35374,4.61246,-4.57935,-0.22635,0.06974,0.38579,1.38234
528.92963,40.60277049976,1421.885748552,0.02778,-0.34103,4.60812,-4.5844,-0.22446,0.07737,0.38343,1.38433
528.9425,40.60510607552,1421.844076296,0.02334,-0.33473,4.60617,-4.58686,-0.22356,0.07951,0.38232,1.38534
528.95612,40.60760112892,1421.799727896,0.01873,-0.32797,4.60421,-4.5895,-0.22263,0.08173,0.38103,1.38645
528.9693,40.60999843796,1421.757013224,0.01436,-0.32092,4.60242,-4.59206,-0.22175,0.08189,0.37971,1.38753
528.99585,40.61488051152,1421.670544512,0.00586,-0.30562,4.59916,-4.59726,-0.22003,0.07843,0.37677,1.38968
529.0097,40.6174372982,1421.6253,0.00159,-0.29707,4.59764,-4.6,-0.21916,0.07509,0.37511,1.39073
529.03619,40.62233480508,1421.53898064,-0.00614,-0.27542,4.59525,-4.6053,-0.2175,0.04975,0.37178,1.39228
529.05042,40.6249739028,1421.492693712,-0.01003,-0.26195,4.59426,-4.60818,-0.21663,0.03905,0.37005,1.39287
529.06396,40.62749982284,1421.448342264,-0.01358,-0.24933,4.59347,-4.61092,-0.21581,0.03035,0.36837,1.39331
529.078,40.63010805392,1421.402652744,-0.01702,-0.23321,4.59293,-4.6138,-0.21496,0.01252,0.36689,1.39355
529.09161,40.63264426284,1421.35800564,-0.02016,-0.21793,4.5926,-4.61659,-0.21413,-0.0021,0.36548,1.39356
529.10754,40.63561260472,1421.30591532,-0.02353,-0.1988,4.5925,-4.61983,-0.21315,-0.01665,0.36393,1.39335
