Time,Phugoid_Mode,Short_Period_Mode,Roll_Mode,Dutch_Roll_Mode,Spiral_Mode
0.0,0.228009680794398,0.22800968079439785,-0.006574902335814091,0.007442572315381662,0.02567759430810307
0.026250000000004547,0.22791621370533566,0.22791621370533555,-0.006314273033067853,0.007387184035213839,0.025715661068321023
0.05200999999999567,0.22786301663441252,0.2278630166344124,-0.006104746606785357,0.007332526853965839,0.025749504517952024
0.07855999999992491,0.22783822303795367,0.22783822303795362,-0.005922346147776432,0.007276835366314591,0.025782430221946
0.09142999999994572,0.22783655756807317,0.227836557568073,-0.005861344903187918,0.007250259749643926,0.025796130438111183
0.10505000000000564,0.2278423435469944,0.2278423435469942,-0.005798244112924605,0.007222289413358317,0.025810572182639806
0.1182299999999259,0.2278578955733269,0.22785789557332684,-0.005772121825887629,0.0071952729573538324,0.02582011946340583
0.14477999999996882,0.22792009362992738,0.22792009362992727,-0.005786379417659332,0.007140799502477155,0.025829483763185314
0.1586299999999028,0.22796815865848338,0.22796815865848322,-0.005821077689753749,0.007112470751455067,0.02582927755925161
0.18511999999998352,0.2281338653425435,0.22813386534254346,-0.006214776204023584,0.007055691268213382,0.025780978102968245
0.19934999999998126,0.22825556593989121,0.2282555659398911,-0.00637633160067849,0.007026270946295437,0.025757402065531645
0.2128899999999021,0.2283793263455778,0.22837932634557773,-0.006504582763011577,0.006998519237996667,0.02573582931674693
0.2269299999999248,0.22854868635355793,0.22854868635355785,-0.006789594084222701,0.006969661092198664,0.025693100422760868
0.24053999999989628,0.22872193567595708,0.22872193567595697,-0.007019485527785413,0.0069419002712738384,0.025653633901078252
0.25646999999992204,0.22895211897443635,0.22895211897443615,-0.007243847856195769,0.006909822063467775,0.025609639624364966
0.27038999999990665,0.2291612732582471,0.22916127325824698,-0.007404794953134653,0.0068820731261408224,0.02557249907263846
0.2838799999999537,0.22939853964363252,0.22939853964363244,-0.007567567831981305,0.0068549828609690625,0.02553334071288961
0.31024999999999636,0.22989917132674306,0.22989917132674292,-0.007841211602657376,0.006802815286741123,0.02545558658612338
0.3361899999999878,0.23043789128613723,0.23043789128613706,-0.008054120432355014,0.006751957301880009,0.02537831307564336
